1  - Opportunity for Classroom Training                                                                              2  - Opportunity for DOJT/Field Training                                                                                            3  - Trained/Opportunity for field experience                                                                                         4  - Proficient                                                                                                               5  - Expert/Able to Train,Boro,Aerial lift Use,Electrical Troubleshooting,Gas Calls (any equipment),Electrical Conduit /Wiring Installation,Swagelok tubing,Vacuum pump repair,Forklift operator,Confined Space Entry,Confined Space Supervisor,Welder,Fire Watch,Rigging,Cadwelds,Compressor PM / CM,Troubleshoot DC Grounds,SF6 gas cart use,Hotspots Inspections,Overheard Crane Training,CS PM / CM,LTC PM / CM,AGS PM / CM,Mechanical Deluge Repair,Tapguard 260/TM 100 troubleshooting,Transformer Fan replacement,Transformer Pump replacement,Sesco oil processing truck operator,Sesco oil processing truck repair,Transformer Vacuum pump operator,Transformer Replacement,Transformer Bushing Replacement,Circuit Switcher Replacement,Kelman installation,AC High Voltage Test Set PM / CM,DC High Voltage Test Set PM / CM,Low Voltage Test Set CM,PURs Pump/Motor Replacement,PURs Pump VFD Replacement,PURs/CP Pump/Motor Alignment,Pump House Ladder Calibration,Pump House PLC troubleshooting & Repairs,Diesel Generator PM / CM,Working in a PURs facility w/ out an operator,Pump House Pump Replacement ,Distribution Breaker PM,Distribution Breaker CM,Transmission Breaker CM,Transmission Breaker PM,Barksdale PM / CM,Battery Corrective Maintenance,Battery PM,Repair high voltage test leads/portable grounds,Installing / troubleshooting RMS coils,Capbank Repairs,Disconnect and Ground Switch Adj/Repairs,Kemper Roof Installations,HVAC Maintenance,Asbestos abatement
,,General Tasks,,,,,,,,,,,,,,,,,,Former TMG Tasks,,,,,,,,,,,,,,Former ASM Tasks,,,,,,,,,,,Former FACILITY Tasks,,,,,,,,,,,,,
Worker_1,S,3,3,3,1,4,2,1,1,1,1,2,4,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,na,na,na,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Worker_2,Q,4,4,4,1,1,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,1,4,4,4,4,1,1
Worker_3,Q/B,4,4,4,1,4,2,1,1,1,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
Worker_4,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,5,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_5,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_6,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_7,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_8,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_9,Q,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_10,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_11,B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,4,4,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,1
Worker_12,Q/B,4,4,4,1,4,2,4,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_13,Q/B,4,4,4,1,4,2,1,1,1,1,2,4,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
Worker_14,Q/B,4,4,4,1,4,2,1,1,1,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
