,S,Q,Q/B,B
0,"Kournidakis, John (Skill level: 3.54)","O'Rourke, Henry (Skill level: 3.58)","Kane, Michael (Skill level: 3.53)","Monasseri, Joseph (Skill level: 3.54)"
1,"Kane, Brendan (Skill level: 3.53)","Garzino, Frank (Skill level: 2.28)","Koehler, Craig  (Skill level: 3.53)","Milo, Jason (Skill level: 3.53)"
2,"Minucci, Anthony (Skill level: 3.53)","Vanagas, Michael (Skill level: 2.19)","Lauricella, Vincent (Skill level: 3.53)","Grunewald, Jason (Skill level: 2.23)"
3,"Roth, Richard (Skill level: 3.53)","Decker, Ronald (Skill level: 2.14)","Aguilar, Victor (Skill level: 2.23)","Neville, Robert (Skill level: 2.21)"
4,"Velasco, Stanley (Skill level: 3.53)","Dryden, Lorenzo (Skill level: 2.14)","Jones, Jonathan (Skill level: 2.23)","Cheng, Ted (Skill level: 2.16)"
5,"Mee, Michael (Skill level: 3.32)","Ercolino, Frank (Skill level: 2.14)","McCabe, Matthew (Skill level: 2.23)","Luckett, Shaun (Skill level: 2.14)"
6,"Lacasse, Robert (Skill level: 2.25)","Kenney, Timothy (Skill level: 2.14)","McCarthy, Sean (Skill level: 2.23)","Tagliaferro, Robert (Skill level: 2.14)"
7,"Fisher, Shawn (Skill level: 2.23)","Kristinich, Joseph (Skill level: 2.14)","Panagos, Miltiades (Skill level: 2.23)","Vega, Ian (Skill level: 2.14)"
8,"Hayes, Jason (Skill level: 2.16)","Samanka, Michael (Skill level: 2.14)","Svaral, Stephen (Skill level: 2.23)","Gangoo, Ishmael (Skill level: 2.07)"
9,"Evans, Nathaniel (Skill level: 2.07)","Summa, James (Skill level: 2.14)","Cucchiara, John (Skill level: 2.14)","Papaderos, Manolis (Skill level: 2.04)"
10,"Keo, Roland (Skill level: 2.02)","Montalvo, Orlando (Skill level: 2.05)","Bradley, James (Skill level: 2.02)","Hanson, Raphael (Skill level: 2.02)"
11,"Bailey, Pernell  (Skill level: 1.98)","Proscia, Anthony (Skill level: 2.02)","Hoti, Rock (Skill level: 2.02)","Raft, Dennis (Skill level: 2.02)"
12,"Medina, Armando (Skill level: 1.39)", ,"Larregui, Andrew (Skill level: 1.96)","Rogers, Paul (Skill level: 2.0)"
13, , ,"Longo, Vincenzo (Skill level: 1.96)", 
